"coord1" "coord2" "coord1.norm" "coord2.norm" "spotID" "histology" "histology_color"
"ST223" 20 26 1.17428571428571 1.34 "ST223" "Interstitium" "green"
"ST224" 20 27 1.17428571428571 1.41115384615385 "ST224" "Interstitium" "green"
"ST225" 20 28 1.17428571428571 1.48230769230769 "ST225" "Cancer cells and desmoplasia" "red"
"ST226" 20 29 1.17428571428571 1.55346153846154 "ST226" "Cancer cells and desmoplasia" "red"
"ST227" 20 30 1.17428571428571 1.62461538461538 "ST227" "Cancer cells and desmoplasia" "red"
"ST228" 20 31 1.17428571428571 1.69576923076923 "ST228" "Cancer cells and desmoplasia" "red"
"ST229" 20 32 1.17428571428571 1.76692307692308 "ST229" "Cancer cells and desmoplasia" "red"
"ST230" 20 33 1.17428571428571 1.83807692307692 "ST230" "Cancer cells and desmoplasia" "red"
"ST231" 20 34 1.17428571428571 1.90923076923077 "ST231" "Cancer cells and desmoplasia" "red"
"ST232" 21 14 1.235 0.486153846153846 "ST232" "Interstitium" "green"
"ST233" 21 15 1.235 0.557307692307692 "ST233" "Interstitium" "green"
"ST234" 21 16 1.235 0.628461538461538 "ST234" "Interstitium" "green"
"ST235" 21 17 1.235 0.699615384615385 "ST235" "Interstitium" "green"
"ST236" 21 18 1.235 0.770769230769231 "ST236" "Interstitium" "green"
"ST237" 21 19 1.235 0.841923076923077 "ST237" "Interstitium" "green"
"ST238" 21 20 1.235 0.913076923076923 "ST238" "Interstitium" "green"
"ST239" 21 21 1.235 0.984230769230769 "ST239" "Interstitium" "green"
"ST240" 21 22 1.235 1.05538461538462 "ST240" "Interstitium" "green"
"ST241" 21 23 1.235 1.12653846153846 "ST241" "Normal pancreatic tissue" "blue"
"ST242" 21 24 1.235 1.19769230769231 "ST242" "Interstitium" "green"
"ST243" 21 25 1.235 1.26884615384615 "ST243" "Interstitium" "green"
"ST244" 21 26 1.235 1.34 "ST244" "Interstitium" "green"
"ST245" 21 27 1.235 1.41115384615385 "ST245" "Cancer cells and desmoplasia" "red"
"ST246" 21 28 1.235 1.48230769230769 "ST246" "Cancer cells and desmoplasia" "red"
"ST247" 21 29 1.235 1.55346153846154 "ST247" "Cancer cells and desmoplasia" "red"
"ST248" 21 30 1.235 1.62461538461538 "ST248" "Cancer cells and desmoplasia" "red"
"ST249" 21 31 1.235 1.69576923076923 "ST249" "Cancer cells and desmoplasia" "red"
"ST250" 21 32 1.235 1.76692307692308 "ST250" "Cancer cells and desmoplasia" "red"
"ST251" 21 33 1.235 1.83807692307692 "ST251" "Cancer cells and desmoplasia" "red"
"ST252" 22 14 1.29571428571429 0.486153846153846 "ST252" "Interstitium" "green"
"ST253" 22 15 1.29571428571429 0.557307692307692 "ST253" "Interstitium" "green"
"ST254" 22 16 1.29571428571429 0.628461538461538 "ST254" "Interstitium" "green"
"ST255" 22 17 1.29571428571429 0.699615384615385 "ST255" "Interstitium" "green"
"ST256" 22 18 1.29571428571429 0.770769230769231 "ST256" "Cancer cells and desmoplasia" "red"
"ST257" 22 19 1.29571428571429 0.841923076923077 "ST257" "Interstitium" "green"
"ST258" 22 20 1.29571428571429 0.913076923076923 "ST258" "Interstitium" "green"
"ST259" 22 21 1.29571428571429 0.984230769230769 "ST259" "Interstitium" "green"
"ST260" 22 23 1.29571428571429 1.12653846153846 "ST260" "Cancer cells and desmoplasia" "red"
"ST261" 22 24 1.29571428571429 1.19769230769231 "ST261" "Cancer cells and desmoplasia" "red"
"ST262" 22 25 1.29571428571429 1.26884615384615 "ST262" "Cancer cells and desmoplasia" "red"
"ST263" 22 26 1.29571428571429 1.34 "ST263" "Cancer cells and desmoplasia" "red"
"ST264" 22 27 1.29571428571429 1.41115384615385 "ST264" "Cancer cells and desmoplasia" "red"
"ST265" 22 28 1.29571428571429 1.48230769230769 "ST265" "Cancer cells and desmoplasia" "red"
"ST266" 22 29 1.29571428571429 1.55346153846154 "ST266" "Cancer cells and desmoplasia" "red"
